,Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
316,WHITE NOISE,63%,Fewer than 50 Ratings,67%,WHITE NOISE,"Comedy, Drama, Horror",English,Noah Baumbach,"Noah Baumbach, David Heyman, Uri Singer",Noah Baumbach,"Nov 25, 2022  Limited","Dec 30, 2022",,2h 16m,Netflix,"At once hilarious and horrifying, lyrical and absurd, ordinary and apocalyptic, White Noise dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world."
317,NANNY,60%,Fewer than 50 Ratings,88%,NANNY,"Horror, Mystery & Thriller",English,Nikyatu Jusu,"Nikkia Moulterie, Daniela Taplin Lundberg",Nikyatu Jusu,"Nov 23, 2022  Limited","Dec 16, 2022",,1h 38m,Amazon Studios,"In this psychological horror fable of displacement, Aisha (Anna Diop), a woman who recently emigrated from Senegal, is hired to care for the daughter of an affluent couple (Michelle Monaghan and Morgan Spector) living in New York City. Haunted by the absence of the young son she left behind, Aisha hopes her new job will afford her the chance to bring him to the U.S., but becomes increasingly unsettled by the family's volatile home life. As his arrival approaches, a violent presence begins to invade both her dreams and her reality, threatening the American dream she is painstakingly piecing together."
318,THE SON,75%,Fewer than 50 Ratings,42%,THE SON,Drama,English,Florian Zeller,"Iain Canning, Joanna Laurie, Karl Hartman, Emile Sherman, Christophe Spadone, Florian Zeller","Christopher Hampton, Florian Zeller","Nov 25, 2022  Limited",,,2h 4m,Sony Pictures Classics,"A cautionary tale that follows a family as it struggles to reunite after falling apart. THE SON centers on Peter (Hugh Jackman), whose hectic life with his infant and new partner Beth (Vanessa Kirby) is upended when his ex-wife Kate (Laura Dern) appears at his door to discuss their son Nicholas (Zen McGrath), who is now a teenager. The young man has been missing school for months and is deeply troubled. Peter strives to take care of Nicholas as he would have wanted his own father (Anthony Hopkins) to have taken care of him while juggling his and Beth's new son, and at work an offer of a dream position in Washington. However, by reaching for the past to correct its mistakes, he loses sight of how to hold onto Nicholas in the present."
319,BHEDIYA,89%,50+ Ratings,67%,BHEDIYA,"Comedy, Horror",Hindi,Amar Kaushik,Dinesh Vijan,Niren Bhatt,"Nov 25, 2022  Limited",,,2h 25m,Trident AV Technologies,"Set in the forests of Arunachal, Bhediya is the story of Bhaskar, a man who gets bitten by a wolf and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns and laughs ensue."
320,BATTLE FOR SAIPAN,--,Fewer than 50 Ratings,--,BATTLE FOR SAIPAN,"War, History, Drama, Action",English,Brandon Slagle,Daemon Hillin,Brandon Slagle,"Nov 25, 2022  Limited","Nov 25, 2022",,1h 34m,Saban Films,"Casper Van Dien (Alita: Battle Angel) and Louis Mandylor (Rambo: Last Blood) star in this edge-of-your-seat WWII epic. On July 7th, 1944, a US Army hospital on the remote island of Saipan is overrun by Japanese forces during a relentless attack. Outgunned and surrounded by the enemy, a lone medic (Van Dien) puts it all on the line to lead a band of wounded warriors to safety."
321,THE KING OF LAUGHTER,--,Fewer than 50 Ratings,83%,THE KING OF LAUGHTER,"Biography, Drama",Italian,Mario Martone,,"Mario Martone, Ippolita Di Majo, Mario Martone, Ippolita Di Majo","Nov 25, 2022  Limited","Nov 25, 2022",,2h 13m,Film Movement,"Naples, 1904: Eduardo Scarpetta risked everything by staging a parody of the great Italian poet, Gabriele D'Annunzio. Despite legal troubles and familial strife, Scarpetta fought for his legacy as one of the greats of Italian theater."
322,MOST GUYS ARE LOSERS,--,Fewer than 50 Ratings,--,MOST GUYS ARE LOSERS,"Holiday, Romance, Comedy",English,Eric Ustian,"Lene Amalfi, Anthony Clementi",Eric Ustian,"Nov 25, 2022  Limited","Nov 25, 2022",,1h 31m,Gravitas Ventures,"Sandy's new boyfriend, Bo, meets all the criteria for a good partner (and she knows it)! However, when she brings him home for the holidays, her dad, Mark, thinks he knows better. Bar owner Mark Berzins has seen decades of relationships-gone-wrong, and is determined to poke some holes in this one. A well-intentioned investigation into the new boyfriend leads to awkward misunderstandings, spilled secrets, and heartwarming moments."
323,AN INCONVENIENT LOVE,--,Fewer than 50 Ratings,--,AN INCONVENIENT LOVE,"Romance, Comedy",English,Petersen Vargas,,"Daisy Cayanan, Enrico Santos","Nov 25, 2022  Limited",,,2h 4m,Star Cinema,"Ayef dreams of being an animator and has no time for love. When she meets Manny, they agree to a convenient relationship that will end the month she's set to leave for Singapore."
324,TICH BUTTON,86%,Fewer than 50 Ratings,--,TICH BUTTON,"Romance, Comedy, Adventure",Urdu,Qasim Ali Mureed,"Urwa Hocane, Mohammad Jerjees Seja",,"Nov 25, 2022  Limited",,,2h 25m,ARY Films,"Kaka helps Saqib when he refuses to marry his cousin Shakeela, but the refusal leads to complications and a wealth of lies. Leena from Turkey enters the picture and love is in the air."
325,USERS,--,0 Ratings,45%,USERS,Documentary,English,Natalia Almada,"Josh Penn, Elizabeth Lodge Stepp, Natalia Almada",,"Nov 25, 2022  Limited",,,1h 21m,Icarus Films,"A mother wonders: Will my children grow to love their perfect machines more than they love me? Intimate in scope and epic in scale, director Natalia Almada embarks on a cinematic journey into an invisible realm, where it is taken for granted that technological progress will always inspire social progress, and that ever-smarter machines will make humankind ever better. Constructed from stunning, immaculately rendered images and featuring a score performed by the Kronos Quartet, Users is an immersive journey into the heart of our changing relationship to the natural world."
326,FREEDOM ON FIRE: UKRAINE'S FIGHT FOR FREEDOM,--,Fewer than 50 Ratings,--,FREEDOM ON FIRE: UKRAINE'S FIGHT FOR FREEDOM,,Ukrainian,Evgeny Afineevsky,"Evgeny Afineevsky, Will Znidaric, Galyna Sadomtseva-Nabaranchuk, Shahida Tulaganova, Inna Goncharova, Alex Kashpur",,"Nov 25, 2022  Limited",,,1h 58m,MakeMake Entertainment,"Genre: Documentary, War"
327,PADACHONE INGALU KATHOLI,--,Fewer than 50 Ratings,--,PADACHONE INGALU KATHOLI,Comedy,Malayalam,Bijith Bala,"Josekutty Madathil, Ranjith Manambarakkat",,"Nov 25, 2022  Limited",,,2h 30m,Tiny Hands Production,"Dineshan, Grace, Giri, KK and Gund Saji are involved in left-wing politics. When Dineshan falls for a girl, she makes him consider all the occurrences happening at home and pushes him to take action."
328,PATTATHU ARASAN,--,0 Ratings,--,PATTATHU ARASAN,Drama,Tamil,A. Sarkunam,A. Subaskaran,A. Sarkunam,"Nov 25, 2022  Limited",,,2h 35m,Lyca Productions,"Former kabaddi player Poththaari, widely regarded as one of the sport's greatest, has two wives and the family lives happily together. Even though he has many heirs with one of his wives and just one with the other, the properties should be split equally between the women according to the law."
329,IT'S CHRISTMAS AGAIN,--,Fewer than 50 Ratings,--,IT'S CHRISTMAS AGAIN,"Kids & Family, Holiday, Romance, Drama, Musical",English,Sandra L. Martin,,Sandra L. Martin,"Nov 29, 2022  Limited",,,1h 45m,Fathom Events,"Jake Young (Lawson Touliatos) wants nothing more than to spend his Christmas vacation with his girlfriend, Abbey Walker (Leela Owen). So when Abbey volunteers for her church's Christmas play, Jake is ready to skip Christmas this year until an unexpected turn of events lands him in a field outside Bethlehem on the night Jesus was born. While on his journey with the shepherds to find the promised Messiah, Jake discovers the true meaning of Christmas. Coming this Christmas season, IT'S CHRISTMAS AGAIN is a modern-day musical the whole family will love!"
330,EVANGELION:3.0+1.01 THRICE UPON A TIME,--,500+ Ratings,100%,EVANGELION:3.0+1.01 THRICE UPON A TIME,"Sci-Fi, Action, Anime, Drama",Japanese,"Hideaki Anno, Mahiro Maeda, Katsuichi Nakayama, Kazuya Tsurumaki",,Hideaki Anno,"Nov 30, 2022  Limited","Aug 13, 2021",,2h 34m,GKIDS / Fathom Events,"From legendary director Hideaki Anno, EVANGELION:3.0+1.01 THRICE UPON A TIME is the fourth and final installment of the REBUILD OF EVANGELION films, bringing an epic conclusion to the story of Shinji and his fellow Eva pilots, with the stunning visuals and thought-provoking storytelling that has made EVANGELION a global pop culture phenomenon. Misato and her anti-NERV group Wille arrive at Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower. They only have 720 seconds to restore the city. When a horde of NERV Evas appear, Mari's improved Eva Unit 8 must intercept. Meanwhile, Shinji, Asuka, and Rei (Provisional Name) wander about Japan."
331,NCT DREAM THE MOVIE: IN A DREAM,97%,Fewer than 50 Verified Ratings,--,NCT DREAM THE MOVIE: IN A DREAM,"Documentary, Music",,Oh Yoon Dong,,,"Nov 30, 2022  Limited",,,1h 57m,Trafalgar Releasing,South Korean pop group NCT Dream performs two concerts over two sold-out nights.
332,PORTRAIT OF THE QUEEN,--,Fewer than 50 Ratings,--,PORTRAIT OF THE QUEEN,"Documentary, Biography",English,Unknown Director,,,"Nov 30, 2022  Limited",,,1h 40m,Fathom Events,"Queen Elizabeth II was the most photographed, the most loved and talked about, spied upon, praised, criticized, popular woman on the planet. All over the globe and in every moment of her long life, that came to an end at the age of 96, people have always wanted to watch her through a peephole, discover new things about her, get to know her better, connect with her and understand her. Portrait of the Queen offers an original portrayal of the story of The Queen from a totally new perspective: through the most intense, amazing, revealing photographic portraits of her, as shared by the extraordinary photographers who accompanied and often created the image of the British monarchy itself. Special focus is given to each of The Queen's most intense, intimate, faithful portraits, symbols of 20th century history, contextualized by the photographers who portrayed Her Majesty -- Brian Aris, Jason Bell, Julian Calder, Chris Levine, David Montgomery, and John Swannell."
333,THE HARBINGER,--,0 Ratings,96%,THE HARBINGER,"Horror, Mystery & Thriller, Drama",English,Andy Mitton,"Jay Dunn, Richard W. King, Andy Mitton, Clark Freeman",Andy Mitton,"Dec 1, 2022  Limited","Dec 1, 2022",,1h 26m,XYZ Films,"Plagued by horrific nightmares, a woman enters a hellish dreamscape to confront her greatest fears."
334,NEIL YOUNG: HARVEST TIME,88%,Fewer than 50 Ratings,100%,NEIL YOUNG: HARVEST TIME,"Documentary, Music",English,Neil Young,Gary Ward,,"Dec 1, 2022  Limited",,,2h 5m,Trafalgar Releasing,"Created between January and September 1971, this docu-film takes us on an intimate journey to Young’s farm in Northern California for the 'Harvest Barn' sessions, to London for an iconic performance with the London Symphony Orchestra and to Nashville where the then 20 something Neil Young worked on various tracks of this signature album. The feature is a fan piece that has never been seen before. Performance and rehearsal content is intertwined into creative storytelling and includes most of the tracks from album Harvest (released in 1972) including ""Heart of Gold"", ""A Man Needs A Maid"", ""Alabama"" and ""Old Man""."
335,I HEARD THE BELLS,98%,250+ Ratings,--,I HEARD THE BELLS,"Drama, Holiday",English,Joshua Enck,Joshua Enck,"Joshua Enck, Jeff Bender","Dec 1, 2022  Limited",,,1h 50m,Fathom Events,"I HEARD THE BELLS tells the inspiring true story behind the beloved Christmas carol and its author, Henry Wadsworth Longfellow. Known as America's Poet, Henry leads an idyllic life -- until the day his world is shattered by tragedy. With a nation divided by Civil War and his family torn apart, Henry puts down his pen, silenced by grief. But it's the sound of Christmas morning that reignites the poet's lost voice as he discovers the resounding hope of rekindled faith."
336,VIOLENT NIGHT,89%,500+ Verified Ratings,71%,VIOLENT NIGHT,"Holiday, Action, Comedy",English,Tommy Wirkola,"Kelly McCormick, David Leitch, Guy Danella","Pat Casey, Worm Miller","Dec 2, 2022  Wide",,,1h 41m,Universal Pictures,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn't prepared for a surprise combatant: Santa Claus (David Harbour, Black Widow, Stranger Things series) is on the grounds, and he's about to show why this Nick is no saint."
337,EMANCIPATION,100%,Fewer than 50 Verified Ratings,50%,EMANCIPATION,"History, Drama, Mystery & Thriller",English,Antoine Fuqua,"Will Smith, Jon Mone, Joey McFarland, Todd Black",Bill Collage,"Dec 2, 2022  Limited","Dec 9, 2022",,2h 12m,Apple TV+,"""Emancipation"" tells the triumphant story of Peter (Will Smith), a man who escapes from slavery, relying on his wits, unwavering faith and deep love for his family to evade cold-blooded hunters and the unforgiving swamps of Louisiana on his quest for freedom. The film is inspired by the 1863 photos of ""Whipped Peter,"" taken during a Union Army medical examination, that first appeared in Harper's Weekly. One image, known as ""The Scourged Back,"" which shows Peter’s bare back mutilated by a whipping delivered by his enslavers, ultimately contributed to growing public opposition to slavery."
338,THE ETERNAL DAUGHTER,71%,Fewer than 50 Ratings,96%,THE ETERNAL DAUGHTER,"Mystery & Thriller, Drama",English,Joanna Hogg,"Ed Guiney, Andrew Lowe, Emma Norton, Joanna Hogg",Joanna Hogg,"Dec 2, 2022  Limited","Dec 2, 2022",,1h 36m,A24,"An artist and her elderly mother confront long-buried secrets when they return to a former family home, now a hotel haunted by its mysterious past. Featuring a towering, deeply moving performance by Tilda Swinton, acclaimed filmmaker Joanna Hogg's beguiling latest film is a brilliant and captivating exploration of parental relationships and the things we leave behind."
339,THE INSPECTION,93%,Fewer than 50 Verified Ratings,86%,THE INSPECTION,"Drama, Lgbtq+",English,Elegance Bratton,"Chester Algernal Gordon, Effie Brown",Elegance Bratton,"Dec 2, 2022  Wide",,$161.0K,1h 34m,A24,"In Elegance Bratton's deeply moving film inspired by his own story, a young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside. But even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life."
340,CHRISTMAS WITH THE CAMPBELLS,71%,Fewer than 50 Ratings,44%,CHRISTMAS WITH THE CAMPBELLS,"Holiday, Romance, Comedy",English,Clare Niederpruem,"Peter Billingsley, Dan Lagana, Vince Vaughn","Barbara Kymlicka, Vince Vaughn, Dan Lagana","Dec 2, 2022  Limited","Dec 2, 2022",,1h 28m,RLJE Films,"The traditional holiday romance movie, from the writer of ""You Light Up My Christmas"" and the director of ""The Christmas Bow"", gets a little more fun this year with a spin from co-writers Vince Vaughn (""Couples Retreat"") and Dan Lagana (""American Vandal""). In ""Christmas with The Campbells"", when Jesse gets dumped right before the holidays by her boyfriend Shawn, his parents convince her to still spend Christmas with them, and Shawn's handsome cousin, while Shawn is away."
341,CLOSE,--,Fewer than 50 Ratings,91%,CLOSE,Drama,Dutch,Lukas Dhont,"Michiel Dhont, Dirk Impens","Lukas Dhont, Angelo Tijssens","Dec 2, 2022  Limited",,,1h 45m,A24,"Leo and Remi are two thirteen-year-old best friends, whose seemingly unbreakable bond is suddenly, tragically torn apart. Winner of the Grand Jury Prize at the Cannes Film Festival, Lukas Dhont's second film is an emotionally transformative and unforgettable portrait of the intersection of friendship and love, identity and independence, and heartbreak and healing."
342,LAST FILM SHOW,87%,Fewer than 50 Ratings,94%,LAST FILM SHOW,Drama,Gujarati,Pan Nalin,"Marc Duale, Dheer Momaya, Pan Nalin",Pan Nalin,"Dec 2, 2022  Limited",,,1h 50m,Samuel Goldwyn Films,"Samay, a 9-year-old boy living with his family in a remote village in India discovers films for the first time and is absolutely mesmerized. Against his father's wishes, he returns to the cinema day after day to watch more films, and even befriends the projectionist, who, in exchange for his lunch box, lets him watch movies for free. He quickly figures out that stories become light, light becomes films, and films become dreams. Samay and his wild gang of friends move heaven and earth to catch and project light to achieve a 35mm film projection. Together, they use an innovative hack and jubilantly succeed in making a film projection apparatus. But following your dreams often means leaving things behind."
343,HUNT,--,Fewer than 50 Ratings,62%,HUNT,"Drama, Action, Mystery & Thriller",Korean,Lee Jung-jae,"Han Jae-duk, Lee Jung-jae",Lee Jung-jae,"Dec 2, 2022  Limited","Dec 2, 2022",,2h 11m,Magnet Releasing,"After a high-ranking North Korean official requests asylum, KCIA Foreign Unit chief Park Pyong-ho (LEE Jung Jae) and Domestic Unit chief Kim Jung-do (JUNG Woo Sung) are tasked with uncovering a North Korean spy, known as Donglim, who is deeply embedded within their agency. When the spy begins leaking top secret intel that could jeopardize national security, the two units are each assigned to investigate each other. In this tense situation where if they cannot find the mole, they may be accused themselves, Pyong-ho and Jung-do slowly start to uncover the truth. In the end, they must deal with an unthinkable plot to assassinate the South Korean president..."
344,2ND CHANCE,--,0 Ratings,89%,2ND CHANCE,"Documentary, Biography",English,Ramin Bahrani,"Daniel M. Turcan, Johnny Galvin, Charles Dorfman, Ramin Bahrani, Jacob Grodnik",Ramin Bahrani,"Dec 2, 2022  Limited",,,1h 29m,Bleecker Street,"In 1969 a bankrupt pizzeria owner, Richard Davis, invented the modern-day bullet proof vest. To prove that it worked, he shot himself -- point blank -- 192 times. He launched Second Chance, which became the largest body armor company in the world, saving over 3,000 lives. Charming and brash, Davis also directed over eight hours of cult marketing films, both violent and humorous, and became a celebrity figure among police and gun owners across the country. But when a police officer dies wearing a Second Chance vest, Davis's friend and employee becomes a government whistleblower in a case against the company. This exploration of Davis' rise and fall reveals a man of contradictions, decades of reckless lies and threats and the nature of power and impunity in America."
345,SAVAGE SALVATION,67%,Fewer than 50 Ratings,--,SAVAGE SALVATION,"Action, Mystery & Thriller",English,Randall Emmett,"Randall Emmett, George Furla, Petr Jákl, Nick Koskoff, Shaun Sanghani, Timothy C. Sullivan, Chad A. Verdi","Adam Taylor Barker, Chris Sivertson","Dec 2, 2022  Limited","Dec 2, 2022",,1h 41m,The Avenue,"Sheriff Church (Robert De Niro) and Detective Zeppelin strive to keep the peace in their rough town, where residents' only two interests are the church or oxycodone. Newly engaged Shelby John (Jack Huston) and Ruby Red want a fresh start. They decide to have a family together and get clean, with the support of Peter, Ruby's brother-in-law (John Malkovich). However Shelby discovers his beloved Ruby dead on their porch before she could fulfill her final wish: to be baptized in the river and washed away from her past sins. Filled with fiery rage, Shelby embarks on a vengeful killing spree to right all the wrong done to Ruby by every link in the drug dealing chain. Armed with nothing but adrenaline and a nail gun, Shelby picks off dealers and junkies one by one until he gets to the top. Sheriff Church and Detective Zeppelin must race against the clock to put an end to Shelby's vigilante justice before his fight with the crime lord Coyote (Quavo) turns the entire town into a bloodbath."
346,TANTURA,--,Fewer than 50 Ratings,93%,TANTURA,Documentary,Hebrew,Alon Schwarz,"Maiken Baird, Alon Schwarz, Shaul Schwarz","Halil Efrat, Alon Schwarz, Shaul Schwarz","Dec 2, 2022  Limited",,,1h 35m,Reel Peak Films,"The tape-recorded words ""erase it"" take on new weight in the context of history and war. When the State of Israel was established in 1948, war broke out and hundreds of Palestinian villages were depopulated in its aftermath. Israelis know this as the War of Independence. Palestinians call it ""Al Nakba"" (the Catastrophe). In the late 1990s, graduate student Teddy Katz conducted research into a large-scale massacre that had allegedly occurred in the village of Tantura in 1948. His work later came under attack and his reputation was ruined, but 140 hours of audio testimonies remain. Director Alon Schwarz revisits former Israeli soldiers of the Alexandroni Brigade as well as Palestinian residents in an effort to re-examine what happened in Tantura and explore why the Nakba is taboo in Israeli society. The ex-soldiers, now in their 90s, recall unsettling acts of war while disquietly pausing at points they either don't remember or won't speak of. Audio from Katz's 20-year-old interviews cuts through the silence of self-preservation and exposes the ways in which power, silencing, and protected narratives can sculpt history."
347,FOUR SAMOSAS,100%,Fewer than 50 Ratings,65%,FOUR SAMOSAS,"Comedy, Action, Romance",English,Ravi Kapoor,"Ravi Kapoor, Rajiv Maikhuri, Venk Potula, Craig Stovel",Ravi Kapoor,"Dec 2, 2022  Limited","Dec 2, 2022",,1h 20m,IFC Films,"When a wanna-be rapper learns his ex is engaged to marry his smarmy rival, he and three other misfit dreamers plan a heist to steal her wedding diamonds and win her back in this feel-good family caper."
348,RETURN TO SEOUL,--,Fewer than 50 Ratings,97%,RETURN TO SEOUL,Drama,English,Davy Chou,"Katia Khazak, Charlotte Vincent",Davy Chou,"Dec 2, 2022  Limited",,,1h 59m,Sony Pictures Classics,"On an impulse to reconnect with her origins, Freddie, 25, returns to South Korea for the first time, where she was born before being adopted and raised in France. The headstrong young woman starts looking for her biological parents in a country she knows so little about, taking her life in new and unexpected directions."
349,ANGRY NEIGHBORS,--,0 Ratings,--,ANGRY NEIGHBORS,Comedy,English,Warren Brock,"Warren Brock, Kerry Orent, Mike Sobiloff, Camille Torabpour, Hamid Torabpour","James M. Bear, Hamid Torabpour","Dec 2, 2022  Limited","Dec 2, 2022",,1h 20m,Lionsgate,"When his ultra-wealthy neighbor in the Hamptons builds an obnoxious mega-mansion next door, grumpy retired novelist Harry March concocts an elaborate scheme for revenge that is destined to go hilariously awry."
350,WHAT REMAINS,100%,Fewer than 50 Ratings,40%,WHAT REMAINS,Drama,English,Nathan Scoggins,Ralph Winter,Nathan Scoggins,"Dec 2, 2022  Limited",,,1h 41m,Gravitas Ventures,"A small town pastor is forced to reckon with an act of forgiveness when the convict he forgave for murdering his wife returns to town five years later, while the town sheriff investigates another murder that may be related."
351,NR. 10,--,0 Ratings,67%,NR. 10,"Mystery & Thriller, Drama, Sci-Fi",German,Alex van Warmerdam,Marc van Warmerdam,Alex van Warmerdam,"Dec 2, 2022  Limited","Dec 9, 2022",,1h 40m,Drafthouse Films,"Günter was raised by foster parents after being found abandoned in the woods with no memory as a child. Years later, when a man approaches him on the street and whispers a strange word in his ear, he begins to experience visions from his fractured past that reveal a dark secret, threatening what he thinks he knows about his life and the very nature of his existence."
352,THE QUINTESSENTIAL QUINTUPLETS MOVIE,97%,100+ Verified Ratings,--,THE QUINTESSENTIAL QUINTUPLETS MOVIE,"Romance, Comedy, Anime",Japanese,Masato Jinbo,,Keiichiro Ochi,"Dec 2, 2022  Limited",,,2h 15m,Crunchyroll,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what's next. Is there a future with one of them and Futaro?"
353,THE QUIET EPIDEMIC,--,0 Ratings,--,THE QUIET EPIDEMIC,Documentary,English,"Winslow Crane-Murdoch, Lindsay Keys","Chris Hegedus, Lindsay Keys, Daria Lombroso",,"Dec 2, 2022  Limited",,,1h 42m,First Run Features,"After years of living with mysterious symptoms, a young girl from Brooklyn and a Duke University scientist are diagnosed with a disease said to not exist: Chronic Lyme disease. The Quiet Epidemic follows their search for answers, which lands them in the middle of a vicious medical debate. What begins as a patient story evolves into an investigation into the history of Lyme disease, dating back to its discovery in 1975. A paper trail of suppressed scientific research, and buried documents reveals why ticks -- and the diseases they carry -- have been allowed to quietly spread around the globe."
354,TWISTED,97%,Fewer than 50 Ratings,--,TWISTED,Mystery & Thriller,English,Vibeke Muasya,Lene Børglum,"Vibeke Muasya, Vibeke Muasya, Nikolaj Scherfig","Dec 2, 2022  Limited",,,1h 27m,Alarm Pictures,"A young woman seeks independence from her protective mother, only to be questioning her own sanity when newfound friends die, and her mother suggests Hannah is the cause of their death."
355,FOOD AND ROMANCE,--,Fewer than 50 Ratings,100%,FOOD AND ROMANCE,"Romance, Comedy, Drama",Swedish,Annika Appelin,"Jessica Ask, Åsa Karlsson",Anna Fredriksson,"Dec 2, 2022  Limited","Dec 2, 2022",,1h 41m,Samuel Goldwyn Films,"A sudden change forces Karin to re-evaluate her life. With the help of friends, food and passion she refuses to accept that life has an expiration date and takes the second chance she is given."
356,FRAMING AGNES,--,0 Ratings,76%,FRAMING AGNES,"Documentary, Lgbtq+",English,Chase Joynt,"Samantha Curley, Shant Joshi, Chase Joynt","Chase Joynt, Morgan M. Page, Chase Joynt, Morgan M. Page","Dec 2, 2022  Limited","Jan 31, 2023",,1h 15m,Kino Lorber,"The pseudonymous Agnes was a pioneering transgender woman who participated in an infamous gender health study conducted at UCLA in the 1960s. Her clever use of the study to gain access to gender-affirming healthcare led to her status as a fascinating and celebrated figure in trans history. In this innovative cinematic exercise that blends fiction and nonfiction, director Chase Joynt (No Ordinary Man) uses Agnes's story, along with others unearthed in long-shelved case files, to widen the frame through which trans history is viewed. Through a collaborative practice of reimagination, an all-star cast of trans performers, artists, and thinkers -- including Angelica Ross (Pose), Jen Richards (Mrs. Fletcher), and Zackary Drucker (Transparent) -- take on vividly rendered, impeccably vintage reenactments, bringing to life groundbreaking artifacts of trans history. This collective reclamation breaks down the myth of isolation among transgender history-makers, breathing new life into a lineage of collaborators and conspirators who have been forgotten for far too long."
357,AMIGO,--,0 Ratings,100%,AMIGO,"Mystery & Thriller, Comedy",Spanish (Spain),Óscar Martín,Elena Muñoz,"Óscar Martín, Javier Botet, David Pareja","Dec 2, 2022  Limited",,,1h 23m,Dekanalog,"Following a car accident that kills his wife and leaves his best friend David (David Pareja) with nothing but a scratch, Javi (Javier Botet, REC, Crimson Peak) is left bedridden. His body bears deep gashes, his lungs are filled with fluid that make talking painful and near impossible, his legs are inoperable. From scene one, we see the dynamic at play between the two survivors. David carries Javi into the house. They are fresh from the hospital, and David assures Javi that he will be there to care for him. But... something is not right. Javi does not want David's help. David starts noticing things out of place. He starts suspecting Javi of gaslighting him, despite the fact that Javi can barely move of his own volition. In a series of torturous scenes, the power dynamic settles into a disquieting groove. Reaching an aching fever pitch...."
358,LOWNDES COUNTY AND THE ROAD TO BLACK POWER,--,Fewer than 50 Ratings,100%,LOWNDES COUNTY AND THE ROAD TO BLACK POWER,"Documentary, History",English,"Geeta Gandbhir, Samuel D. Pollard","Jessica Devaney, Anya Rous, Dema Paxton Fofang",Dema Paxton Fofang,"Dec 2, 2022  Limited","Dec 2, 2022",,1h 29m,Greenwich Entertainment,"In the mid-1960s, Lowndes County, Alabama had zero registered Black voters despite an 80% Black population. Through first person accounts and searing archival footage, this documentary chronicles the citizens' movement and young Student Nonviolent Coordinating Committee (SNCC) organizers led by Stokely Carmichael who risked their lives for Black voting rights."
359,HASHTAG BLESSED: THE MOVIE,--,0 Ratings,--,HASHTAG BLESSED: THE MOVIE,"Kids & Family, Holiday, Drama, Romance",English,Stephanie McBain,"Dalea Faulkner, Martina Webster",Dalea Faulkner,"Dec 2, 2022  Limited","Dec 9, 2022",,1h 30m,Entertainment Squad,"It’s Christmastime and Jessi is all but excited. She finds herself with comparisonitis in the world of social media. Other women her age just seem to “have it all”, including that engagement ring. Jessi finds herself frustrated over her job at the local movie theater, still struggling with the loss of her parents, and drowning in student loan debt. Her Grandma and friends seem to be concerned for her health and well being, and only want Jessi to be happy. Will Jessi ever see the love that is right in front of her? Will she continue down her dark path of negativity and struggle, or will the magic of Christmas shine light on her future?"
360,ALMIGHTY ZEUS,--,0 Ratings,--,ALMIGHTY ZEUS,"Action, Drama, Sports",English,Chris Soriano,"Julian Brantley, Luis Jorge Rios",Chris Soriano,"Dec 2, 2022  Limited",,,1h 55m,TriCoast Worldwide,"When an old Asian man is attacked and sprayed with hand sanitizer, a young boxer knocks out the aggressor. This turns him into a viral star which gets the attention of the Middleweight champion, who decides to challenge the young boxer in the ring to an unorthodox boxing match in a COVID-19 pandemic."
361,RENEGADES,--,0 Ratings,--,RENEGADES,"Action, Crime, Drama, Mystery & Thriller",English (United Kingdom),Daniel Zirilli,Jonathan Sothcott,"Tom Jolliffe, Jonathan Sothcott","Dec 2, 2022  Limited","Dec 6, 2022",,1h 31m,Saban Films,"When Veteran Green Beret Carver (Lee Majors) is murdered by a drug gang controlled by Goram (Louis Mandylor) that has been threatening his daughter (Patsy Kensit), his old Special Forces comrades (Nick Moran, Ian Ogilvy, Billy Murray, Paul Barber) reunite to seek revenge, aided by the enigmatic Sanchez (Danny Trejo). As these Renegades dispense their own brand of justice on the mean streets of London with the police (Jeanine Nerissa Sothcott) hot on their trail, they must use every trick in their war hero playbook to stay one step ahead of the sinister gang."
362,REFLECTIONS OF A BROKEN MEMORY,--,Fewer than 50 Ratings,--,REFLECTIONS OF A BROKEN MEMORY,Drama,English,Marco Bazzi,Marco Bazzi,Marco Bazzi,"Dec 2, 2022  Limited",,,1h 20m,Indican Pictures,"Under the guidance of a clinical therapist, a detective leads a suspect into his unconscious to unlock the forgotten memories that caused him to lose touch with reality."
