,Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
1726,NCT DREAM THE MOVIE: IN A DREAM,97%,Fewer than 50 Verified Ratings,--,NCT DREAM THE MOVIE: IN A DREAM,"Documentary, Music",,Oh Yoon Dong,,,"Nov 30, 2022  Limited",,,1h 57m,Trafalgar Releasing,South Korean pop group NCT Dream performs two concerts over two sold-out nights.
1727,PORTRAIT OF THE QUEEN,--,Fewer than 50 Ratings,--,PORTRAIT OF THE QUEEN,"Documentary, Biography",English,Unknown Director,,,"Nov 30, 2022  Limited",,,1h 40m,Fathom Events,"Queen Elizabeth II was the most photographed, the most loved and talked about, spied upon, praised, criticized, popular woman on the planet. All over the globe and in every moment of her long life, that came to an end at the age of 96, people have always wanted to watch her through a peephole, discover new things about her, get to know her better, connect with her and understand her. Portrait of the Queen offers an original portrayal of the story of The Queen from a totally new perspective: through the most intense, amazing, revealing photographic portraits of her, as shared by the extraordinary photographers who accompanied and often created the image of the British monarchy itself. Special focus is given to each of The Queen's most intense, intimate, faithful portraits, symbols of 20th century history, contextualized by the photographers who portrayed Her Majesty -- Brian Aris, Jason Bell, Julian Calder, Chris Levine, David Montgomery, and John Swannell."
1728,THE HARBINGER,--,0 Ratings,96%,THE HARBINGER,"Horror, Mystery & Thriller, Drama",English,Andy Mitton,"Jay Dunn, Richard W. King, Andy Mitton, Clark Freeman",Andy Mitton,"Dec 1, 2022  Limited","Dec 1, 2022",,1h 26m,XYZ Films,"Plagued by horrific nightmares, a woman enters a hellish dreamscape to confront her greatest fears."
1729,NEIL YOUNG: HARVEST TIME,88%,Fewer than 50 Ratings,100%,NEIL YOUNG: HARVEST TIME,"Documentary, Music",English,Neil Young,Gary Ward,,"Dec 1, 2022  Limited",,,2h 5m,Trafalgar Releasing,"Created between January and September 1971, this docu-film takes us on an intimate journey to Young’s farm in Northern California for the 'Harvest Barn' sessions, to London for an iconic performance with the London Symphony Orchestra and to Nashville where the then 20 something Neil Young worked on various tracks of this signature album. The feature is a fan piece that has never been seen before. Performance and rehearsal content is intertwined into creative storytelling and includes most of the tracks from album Harvest (released in 1972) including ""Heart of Gold"", ""A Man Needs A Maid"", ""Alabama"" and ""Old Man""."
1730,I HEARD THE BELLS,98%,250+ Ratings,--,I HEARD THE BELLS,"Drama, Holiday",English,Joshua Enck,Joshua Enck,"Joshua Enck, Jeff Bender","Dec 1, 2022  Limited",,,1h 50m,Fathom Events,"I HEARD THE BELLS tells the inspiring true story behind the beloved Christmas carol and its author, Henry Wadsworth Longfellow. Known as America's Poet, Henry leads an idyllic life -- until the day his world is shattered by tragedy. With a nation divided by Civil War and his family torn apart, Henry puts down his pen, silenced by grief. But it's the sound of Christmas morning that reignites the poet's lost voice as he discovers the resounding hope of rekindled faith."
1731,VIOLENT NIGHT,89%,500+ Verified Ratings,71%,VIOLENT NIGHT,"Holiday, Action, Comedy",English,Tommy Wirkola,"Kelly McCormick, David Leitch, Guy Danella","Pat Casey, Worm Miller","Dec 2, 2022  Wide",,,1h 41m,Universal Pictures,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn't prepared for a surprise combatant: Santa Claus (David Harbour, Black Widow, Stranger Things series) is on the grounds, and he's about to show why this Nick is no saint."
1732,EMANCIPATION,100%,Fewer than 50 Verified Ratings,50%,EMANCIPATION,"History, Drama, Mystery & Thriller",English,Antoine Fuqua,"Will Smith, Jon Mone, Joey McFarland, Todd Black",Bill Collage,"Dec 2, 2022  Limited","Dec 9, 2022",,2h 12m,Apple TV+,"""Emancipation"" tells the triumphant story of Peter (Will Smith), a man who escapes from slavery, relying on his wits, unwavering faith and deep love for his family to evade cold-blooded hunters and the unforgiving swamps of Louisiana on his quest for freedom. The film is inspired by the 1863 photos of ""Whipped Peter,"" taken during a Union Army medical examination, that first appeared in Harper's Weekly. One image, known as ""The Scourged Back,"" which shows Peter’s bare back mutilated by a whipping delivered by his enslavers, ultimately contributed to growing public opposition to slavery."
1733,THE ETERNAL DAUGHTER,71%,Fewer than 50 Ratings,96%,THE ETERNAL DAUGHTER,"Mystery & Thriller, Drama",English,Joanna Hogg,"Ed Guiney, Andrew Lowe, Emma Norton, Joanna Hogg",Joanna Hogg,"Dec 2, 2022  Limited","Dec 2, 2022",,1h 36m,A24,"An artist and her elderly mother confront long-buried secrets when they return to a former family home, now a hotel haunted by its mysterious past. Featuring a towering, deeply moving performance by Tilda Swinton, acclaimed filmmaker Joanna Hogg's beguiling latest film is a brilliant and captivating exploration of parental relationships and the things we leave behind."
1734,THE INSPECTION,93%,Fewer than 50 Verified Ratings,86%,THE INSPECTION,"Drama, Lgbtq+",English,Elegance Bratton,"Chester Algernal Gordon, Effie Brown",Elegance Bratton,"Dec 2, 2022  Wide",,$161.0K,1h 34m,A24,"In Elegance Bratton's deeply moving film inspired by his own story, a young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside. But even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life."
1735,CHRISTMAS WITH THE CAMPBELLS,71%,Fewer than 50 Ratings,44%,CHRISTMAS WITH THE CAMPBELLS,"Holiday, Romance, Comedy",English,Clare Niederpruem,"Peter Billingsley, Dan Lagana, Vince Vaughn","Barbara Kymlicka, Vince Vaughn, Dan Lagana","Dec 2, 2022  Limited","Dec 2, 2022",,1h 28m,RLJE Films,"The traditional holiday romance movie, from the writer of ""You Light Up My Christmas"" and the director of ""The Christmas Bow"", gets a little more fun this year with a spin from co-writers Vince Vaughn (""Couples Retreat"") and Dan Lagana (""American Vandal""). In ""Christmas with The Campbells"", when Jesse gets dumped right before the holidays by her boyfriend Shawn, his parents convince her to still spend Christmas with them, and Shawn's handsome cousin, while Shawn is away."
1736,CLOSE,--,Fewer than 50 Ratings,91%,CLOSE,Drama,Dutch,Lukas Dhont,"Michiel Dhont, Dirk Impens","Lukas Dhont, Angelo Tijssens","Dec 2, 2022  Limited",,,1h 45m,A24,"Leo and Remi are two thirteen-year-old best friends, whose seemingly unbreakable bond is suddenly, tragically torn apart. Winner of the Grand Jury Prize at the Cannes Film Festival, Lukas Dhont's second film is an emotionally transformative and unforgettable portrait of the intersection of friendship and love, identity and independence, and heartbreak and healing."
